Movie Title,Sessions,Admits,Net Revenue (MNT),Gross Revenue (MNT),Occupancy %,"ATP (Avg. Ticket Price, MNT)",Genre,Director,Cast,Production Company
Policeman's Lineage,15,218,"1,613,454.55","1,774,800.00",8.61%,"8,141.28","Action, Crime, Drama",Lee Kyoo-man,"Kwon Yul, Choi Woo-shik, Park Hee-soon","Ace Maker Movieworks Co., Ltd."
Switch,25,196,"1,592,090.91","1,751,300.00",4.85%,"8,935.20","Drama, Thriller",Ma Dae-yun,"Kim Joon, Park So-yi, Lee Min-jung",Lotte Entertainment
Dragon Girl,13,230,"1,578,090.91","1,735,900.00",10.83%,"7,547.39","Family, Adventure ",Øyvind Asbjørnsen,"wilhelm david lumholt hakesberg, Anders Baasmo, Solveig Kloppen",Sola Media. 
6 45,15,198,"1,573,818.18","1,731,200.00",8.73%,"8,748.43","Drama, Thriller, Horror",Craig Singer,"Remy Ma, Ray Mancini, Augie Duke",Well Go USA Entertainment
The Shining,3,194,"1,555,909.09","1,711,500.00",31.70%,"8,822.16","Horror, Mystery",Stanley Kubrick,"Jack Nicholson, Shelley Duvall, Danny Lloyd",Warner Bros. Pictures
Twilight of the Warriors: Walled In,31,149,"1,543,272.73","1,695,600.00",3.97%,"11,379.87","Action, Adventure, Thriller",Soi Cheang,"Louis Koo, Terrance Lau, Sammo Hung",Sony Pictures
Dogs at the Opera,31,189,"1,497,454.55","1,647,200.00",8.74%,"8,715.34","Drama, Comedy",Vasiliy Rovenskiy,"Pavel Priluchnyy, Pavel Priluchnyy, Tygo Gernandt",Filmfinity
Argyle,30,171,"1,447,818.18","1,592,600.00",5.20%,"9,313.45","Action, Thriller",Matthew Vaughn,"Bryce Dallas Howard, Henry Cavill, Sam Rockwell",Apple TV+
Finding Callaro,18,226,"1,333,272.73","1,466,600.00",6.15%,"6,489.38","Drama, Thriller",Various,,
Pororo Dragon Castle Adventure,41,188,"1,302,272.73","1,432,500.00",1.67%,"7,619.68","Animation, Adventure, Family",Yoon Je-wan,"Kim Seo-yeong, Lee Seon, Kim Hyeon-ji",Ocon Studios
Missing,25,170,"1,293,727.27","1,423,100.00",4.39%,"8,371.18","Thriller, Mystery",Will Merrick,"Storm Reid, Nia Long, Ken Leung",Sony Pictures
Taigiin ezen,11,147,"1,286,727.27","1,415,400.00",7.70%,"9,628.57","Drama, Fantasy",Various,,
Alienoid The Return to the Future,28,144,"1,262,909.09","1,389,200.00",7.45%,"9,647.22","Sci-Fi, Action",Choi Dong-ho,"Lee Hanee, Kim Woo-bin, Kim Tae-ri",CJ ENM
Blue Lock: Episode Nagi,18,145,"1,253,363.64","1,378,700.00",3.03%,"9,508.28","Animation, Sport",Shunsuke Ishikawa,"Nobunaga Shimazaki, Yuma Uchida, Kazuyuki Okitsu",Eight Bit
A Haunting in Venice,18,152,"1,243,181.82","1,367,500.00",6.12%,"8,986.71","Horror, Mystery, Thriller",Kenneth Branagh,"Kenneth Branagh, Tina Fey, Michelle Yeoh",20th Century Studios
On The Line,14,172,"1,226,090.91","1,348,700.00",7.88%,"7,841.28","Thriller, Drama",Romuald Boulanger,"Mel Gibson, William Moseley, Kevin Dillon",BondIt Media Capital
Expend4bles,21,148,"1,223,909.09","1,346,300.00",5.10%,"9,096.62","Action, Adventure, Thriller",Scott Waugh,"Jason Statham, Sylvester Stallone, Megan Fox",Millennium Media
Robot Nohoi,35,190,"1,220,090.91","1,342,100.00",2.98%,"7,703.68",,,,
Perhaps Love,25,175,"1,216,363.64","1,338,000.00",4.89%,"7,645.71","Drama, Romance",Peter Chan,"Takeshi Kaneshiro, Zhou Xun, Jacky Cheung",We Pictures
Interstellar,3,154,"1,214,727.28","1,336,200.00",32.91%,"8,676.62","Sci-Fi, Drama",Christopher Nolan,"Matthew McConaughey, Anne Hathaway, Jessica Chastain","Legendary Pictures, Syncopy"
Snejinka,19,158,"1,204,690.91","1,322,200.00",4.02%,"8,368.35",,,,
Alienoid,11,170,"1,197,636.37","1,317,400.00",3.71%,"7,749.41","Sci-Fi, Action, Thriller",Choi Dong-ho,"Ryu Jun-yeol, Kim Woo-bin, Kim Tae-ri",Caper Film
Babylon,13,147,"1,196,818.18","1,316,500.00",12.04%,"8,955.78",Drama,Damien Chazelle,"Brad Pitt, Margot Robbie, Diego Calva",Paramount Pictures
Сургуульйн хайрны түүх 2,13,167,"1,140,818.19","1,280,000.00",8.04%,"7,141.37","Drama, Romance",Baatar Batbaatar,,
Den of Thieves 2: Pantera,21,111,"1,100,363.64","1,309,604.50",4.20%,"10,904.50","Action, Crime, Thriller",Christian Gudegast,"Gerard Butler, O’Shea Jackson Jr., Curtis '50 Cent' Jackson",Diamond Film Productions
Bob Marley: One Love,16,128,"1,082,000.00","1,190,200.00",6.78%,"9,298.44","Documentary, Music",Reinaldo Marcus Green,"Kingsley Ben-Adir, Lashana Lynch, James Norton",Paramount Pictures
Paradise Highway,22,140,"1,063,363.64","1,169,700.00",3.86%,"7,595.45","Drama, Thriller",Anna Gutto,"Juliette Binoche, Frank Grillo, Morgan Freeman",Silver Reel
Gran Turismo,19,129,"1,036,909.09","1,140,600.00",10.02%,"8,841.86","Drama, Action, Sport",Neill Blomkamp,"David Harbour, Orlando Bloom, Archie Madekwe",Columbia Pictures
Cobweb Korean,18,124,"1,033,272.73","1,136,600.00",8.93%,"9,166.13","Comedy, Drama ",Kim Jee-woon,"Song Kang-ho, Lim Soo-jung, Oh Jung-se",Anthology Studio
Boonie Bears: Time Twist,28,136,"1,025,454.55","1,125,000.00",2.71%,"8,272.06","Animation, Comedy, Science Fiction",Lin Yongchang,"Zhang Bingjun, Zhang Wei, Tan Xiao",Fantawild Animation
Special Cargo,7,144,"1,017,636.37","1,119,400.00",11.13%,"7,773.61","Action, Thriller, Drama",Lee Chung-hyun,"Park So-dam, Song Sae-byeok, Kim Eui-sung",M Pictures
,,,,,,,,,,
Цагаан Туг,17,95,"954,636.36","1,050,100.00",4.93%,"11,053.68",Drama,DAvaajav Bayarsaikhan,Samdanpurev Oyunsambuu,Chog Som film
The Point Men,18,119,"944,181.82","1,038,600.00",4.24%,"8,727.73","Action, Thriller, Drama",Yim Soon-rye,"Hwang Jung-min, Hyun Bin, Kang Ki-young",Watermelon Pictures
Barkers: Mind The Cats,28,150,"934,545.46","1,028,000.00",3.43%,"6,853.33","Family, Adventure ", Elena Galdobina,,
Зомбитой кино,1,143,"933,181.82","1,026,500.00",7.18%,"7,318.32","Horror, Comedy",Tuguldur Bayrmaa,,
Contractor,17,120,"875,272.73","962,800.00",3.90%,"8,023.33","Action, Thriller",Nikolai Lebedev,"Chris Pine, Ben Foster, Kiefer Sutherland",30West
1UP,21,115,"872,545.46","959,800.00",3.51%,"8,346.09","Comedy, Drama",Kyle Newman,"Paris Berelc, Ruby Rose, Taylor Zakhar Perez",BuzzFeed Studios
Veteran 2: The Executioner,12,88,"838,545.45","922,400.00",8.53%,"10,481.82","Action, Thriller, Drama",Ryu Seung-wan,"Jung Hae-in, Hwang Jung-min, Ahn Bo-hyun",CJ ENM
Confession,10,103,"836,436.36","917,200.00",4.35%,"8,904.85","Thriller, Drama",Lee Do-yun,"So Ji-sub, Kim Yun-jin, Nana",Lotte Entertainment
Илбэт цурхайн туужаалаар,20,136,"800,000.00","880,000.00",5.65%,"6,470.59",Drama,Batbayar Batmunkh,,
Harold and the Purple Crayon,21,99,"796,181.82","875,800.00",3.57%,"8,846.46","Animation, Family, Adventure",Carlos Saldanha,"Zachary Levi, Zooey Deschanel, Lil Rel Howery",Columbia Pictures
SAO: Aria of a Starless Night,19,118,"792,272.73","871,500.00",3.50%,"7,385.59","Animation, Action, Fantasy",Ayako Kono,"Yoshitsugu Matsuoka, Haruka Tomatsu, Inori Minase",A-1 Pictures
Confidental Assignment,7,99,"758,818.18","834,700.00",9.35%,"8,431.31","Action, Thriller, Drama",Kim Hyun-joo,"Hyun Bin, Yoo Hae-jin, Kim Joo-hyuk",JK Film
12.12: The Day,12,74,"741,818.18","816,000.00",3.76%,"11,027.03","Thriller, Drama,, Action",Kim Sung-su,"Jung Woo-sung, Jung Hae-in, Yeom Dong-heon",815 Pictures
The Wolves Always Come at Night,1,72,"720,000.00","792,000.00",19.46%,"11,000.00","Documentary, Fiction",Gabrielle Brady,"Otgonzaya Dashzeveg, Davaasuren Dagvasuren",
A Man of Reason,14,93,"690,909.09","760,000.00",3.89%,"8,172.04","Drama, Thriller, Action",Jung Woo-sung,"Jung Woo-sung, Kim Nam-gil, Park Sung-woong",Studio & NEW
Challengers,21,70,"690,000.00","759,000.00",3.16%,"10,842.86","Drama, Sport",Luca Guadagnino,"Zendaya, Josh O’Connor, Mike Faist",Metro-Goldwyn-Mayer
Shang-Chi and the Legend of the Ten Rings,4,83,"666,363.64","733,000.00",76.85%,"8,831.33","Action, Adventure, Fantasy",Destin Daniel Cretton,"Simu Liu, Awkwafina, Tony Leung Chiu-wai",Marvel Studios
Wandering Earth 2,10,77,"648,272.73","713,100.00",11.72%,"9,261.04","Sci-Fi, Action, Adventure",Frant Gwo,"Wu Jing, Andy Lau, Zhang Fengyi",China Film Group
Tyvyn Darkhan,6,74,"610,181.82","671,200.00",7.91%,"9,070.27",Drama,,,
Spiritwalker,7,77,"604,545.46","665,000.00",40.74%,"8,636.36","Action, Fantasy, Drama",Yoon Jae-kyun,"Yoon Kye-sang, Park Yong-woo, Lim Ji-yeon",BA Entertainment
aespa: My First Page,15,71,"603,090.91","663,400.00",2.08%,"9,343.66","Documentary, Music",Jo Hyeon-jeong,"Karina, Giselle, Winter, Ningning",SM Entertainment
Project Gemini,7,86,"577,272.73","635,000.00",7.88%,"7,383.72","Sci-Fi, Action, Drama",Serik Beyseu,"Egor Koreshkov, Alena Konstantinova, Dmitriy Frid",Vodorod
Ferrari,19,70,"576,409.09","632,800.00",3.08%,"9,040.00","Drama, Biography, Sport",Michael Mann,"Adam Driver, Penélope Cruz, Shailene Woodley",Moto Pictures
LOTR: The Fellowship of The Rings,4,75,"566,545.46","623,200.00",7.54%,"8,309.33","Fantasy, Adventure, Drama",Peter Jackson,"Elijah Wood, Ian McKellen, Viggo Mortensen",WingNut Films
SAO - P. - Scherzo of Deep Night,6,68,"548,090.91","602,900.00",7.26%,"8,866.18","Animation, Action, Fantasy",Manabu Ono,"Yoshitsugu Matsuoka, Haruka Tomatsu, Inori Minase",A-1 Pictures
LOTR: The Two Towers,3,68,"537,363.64","591,100.00",14.53%,"8,692.65","Fantasy, Adventure, Drama",Peter Jackson,"Elijah Wood, Ian McKellen, Viggo Mortensen",WingNut Films
Beautiful Disaster,11,61,"537,363.64","591,100.00",4.14%,"9,690.16","Drama, Romance",Roger Kumble,"Dylan Sprouse, Virginia Gardner, Austin North",Voltage Pictures
Пороро Поп оддын адал явдал,22,76,"536,727.27","590,000.00",1.57%,"7,768.42","Animation, Family",,"Lee Seon, Ham Su-jung, Kim Hwan-jin",ICONIX Entertainment
Detective Conan: The Million-Dollar Pentagram,16,65,"522,000.00","574,200.00",2.57%,"8,833.85","Animation, Mystery, Thriller",Tomoka Nagaoka,"Minami Takayama, Wakana Yamazaki, Ryo Horikawa",TMS Entertainment
Operation Fortune,14,63,"520,090.91","572,100.00",2.58%,"9,080.95","Action, Comedy, Thriller",Guy Ritchie,"Jason Statham, Aubrey Plaza, Hugh Grant",Miramax
How To Have Sex,16,57,"518,181.82","570,000.00",13.19%,"10,000.00","Drama, Comedy",Molly Manning Walker,"Mia McKenna-Bruce, Lara Peake, Enva Lewis",Wild Swim Films
Time is Up,65,63,"513,818.18","565,200.00",2.51%,"8,695.38","Drama, Romance",Elisa Amoruso,"Bella Thorne, Benjamin Mascolo, Sebastiano Pigazzi",Lotus Production
Sakra,12,59,"509,272.73","560,200.00",4.81%,"9,494.92","Action, Drama",Donnie Yen,"Donnie Yen, Chen Yuqi, Cya Liu",Wishart Media
Dune I: Re-issue,4,48,"509,181.82","560,100.00",5.88%,"11,668.75","Sci-Fi, Adventure, Drama",Denis Villeneuve,"Timothée Chalamet, Rebecca Ferguson, Zendaya",Legendary Entertainment
Nudarga,14,61,"508,363.64","557,200.00",2.42%,"9,134.43",,,,
The Unbearable Weight of Massive Talent,20,74,"507,909.09","558,700.00",2.01%,"7,550.00","Action, Comedy, Crime",Tom Gormican,"Nicolas Cage, Pedro Pascal, Tiffany Haddish",Saturn Films
The Fall Guy,18,50,"488,363.64","537,200.00",3.48%,"10,744.00","Action, Adventure, Thriller",David Leitch,"Ryan Gosling, Emily Blunt, Hannah Waddingham",87North Productions
Sound Of Freedom,31,63,"483,636.36","532,000.00",3.52%,"8,444.44","Drama, Thriller",Alejandro Monteverde,"Jim Caviezel, Mira Sorvino, Bill Camp",Angel Studios
Decision To Leave,7,60,"461,181.82","507,300.00",6.69%,"8,455.00","Crime, Drama, Mystery",Park Chan-wook,"Park Hae-il, Tang Wei, Lee Jung-hyun",Moho Film
j-hope IN THE BOX,6,42,"458,181.82","504,000.00",3.09%,"12,000.00","Documentary, Music",Jung Kook,"Jung Ho-seok, BTS",HYBE
Noryang Deadly Sea,12,51,"448,863.64","492,500.00",2.92%,"9,656.86","Action, Drama, History",Lee Joon-ik,,
Seventeen Power of Love,8,40,"436,363.64","480,000.00",3.21%,"12,000.00","Music, Documentary",OH Yoon-Dong,The 13 Members of SEVENTEEN,HYBE
Mindcage,8,50,"432,818.18","476,100.00",3.76%,"9,522.00","Thriller, Crime",Mauro Borrelli,"Martin Lawrence, Melissa Roxburgh, John Malkovich",Boomtown Media
Sain Huu,13,75,"420,090.91","462,100.00",3.17%,"6,161.33",,,,
Tsus sorogchiin hair,22,50,"412,909.09","454,200.00",2.27%,"9,084.00",,,,
The Electrical Life of Louis Wain,5,54,"410,545.46","451,600.00",6.92%,"8,362.96","Drama, Biography, History",Will Sharpe,"Benedict Cumberbatch, Claire Foy, Andrea Riseborough",Shoebox Films
Limit,5,44,"390,909.09","430,000.00",5.64%,"9,772.73","Drama, Thriller",Seung-jun Yi,"Lee Jung-hyun, Moon Jeong-hee, Jin Seo-yeon",Master One Entertainment
Here,12,39,"390,090.91","429,100.00",5.49%,"11,002.56",Drama,Robert Zemeckis,"Tom Hanks, Robin Wright, Paul Bettany",ImageMovers
LotR: The Return of The King,3,48,"385,454.55","424,000.00",10.26%,"8,833.33","Fantasy, Adventure, Drama",Peter Jackson,"Elijah Wood, Ian McKellen, Viggo Mortensen",WingNut Films
"RM: Right people, Wrong place",16,41,"380,090.91","418,100.00",1.59%,"10,197.56",Drama,Lee Seokjun,Kim Namjoon,HYBE
Memory,8,50,"371,272.73","408,400.00",3.47%,"8,168.00","Action, Thriller, Crime",Martin Campbell,"Liam Neeson, Guy Pearce, Monica Bellucci",Open Road Films
Boogies Night,9,53,"368,909.09","405,800.00",3.22%,"7,656.60","Comedy, Drama",Paul Thomas Anderson,"Mark Wahlberg, Burt Reynolds, Julianne Moore",Ghoulardi Film Company
Inception,3,46,"367,272.73","404,000.00",9.83%,"8,782.61","Action, Adventure, Sci-Fi",Christopher Nolan,"Leonardo DiCaprio, Joseph Gordon-Levitt, Elliot Page",Legendary Pictures
,,,,,,,,,,
Suga Road to D Day,6,32,"349,090.91","384,000.00",2.35%,"12,000.00","Documentary, Music",Park Jun-soo,Min Yoongi,HYBE
Honest Candidate 2,12,48,"345,727.27","380,300.00",2.56%,"7,922.92","Comedy, Drama",Kim Jung-kwon,"Ra Mi-ran, Kim Mu-yeol, Yoon Kyung-ho",Soojak Film
,,,,,,,,,,
The Lord of the Rings: The War of the Rohirrim,33,34,"317,363.64","349,100.00",1.48%,"10,578.79","Animation, Adventure, Fantasy",Kenji Kamiyama,"Brian Cox, Gaia Wise, Miranda Otto",New Line Cinema
Remember,14,42,"316,818.18","348,500.00",1.67%,"8,297.62","Drama, Thriller, Mystery",Lee Il-hyung,"Lee Sung-min, Nam Joo-hyuk, Jeong Man-sik",Moonlight Film
Arthur The King,11,30,"305,454.55","336,000.00",10.10%,"11,200.00","Animation, Family, Adventure",Simon Cellan Jones,"Mark Wahlberg, Simu Liu, Ali Suliman",Paramount Pictures
The Night Owl,7,34,"298,181.82","328,000.00",7.61%,"9,647.06","Thriller, Mystery",Ahn Tae-jin,"Ryu Jun-yeol, Yoo Hae-jin, Kim Sung-cheol",Next Entertainment World
A Bigger World - France movie,1,63,"286,363.63","315,000.00",30.88%,"5,000.00",Drama,Fabienne Berthaud,"Cécile de France, Narantsetseg Dash, Tserendarizav Dashnyam",Estrella Productions
Life is Beautiful,5,41,"282,181.82","310,400.00",5.26%,"7,570.73","Drama, Comedy",Roberto Benigni,"Roberto Benigni, Nicoletta Braschi, Giorgio Cantarini",Cecchi Gori Group
The Covenant,8,36,"275,000.00","302,500.00",2.88%,"8,402.78","Action, Drama, Thriller",Guy Ritchie,"Jake Gyllenhaal, Dar Salim, Antony Starr",Miramax
Maika,11,37,"262,090.91","288,300.00",1.62%,"7,791.89","Animation, Family, Fantasy",Ham Tran,"Phu Truong Lai, Diep Anh Chu, Thanh My",BHD
The Three Musketeers Milady,14,29,"258,181.82","284,000.00",2.26%,"9,793.10","Action, Adventure, Drama",Martin Bourboulon,"Eva Green, François Civil, Vincent Cassel",Pathé
The Three Musketeers: D’Artagnan,11,30,"255,454.55","281,000.00",1.75%,"9,366.67","Action, Adventure, Drama",Martin Bourboulon,"François Civil, Vincent Cassel, Romain Duris",Pathé
No Time To Die,4,28,"227,272.73","250,000.00",25.93%,"8,928.57","Action, Adventure, Thriller",Cary Joji Fukunaga,"Daniel Craig, Léa Seydoux, Rami Malek",Eon Productions
Mad Max: Fury Road,3,28,"225,454.55","248,000.00",5.98%,"8,857.14","Action, Adventure, Sci-Fi",George Miller,"Tom Hardy, Charlize Theron, Nicholas Hoult",Village Roadshow
The Ministry of Ungentlemanly Warfare,12,23,"223,636.36","246,000.00",3.03%,"10,695.65","Action, Drama, War",Guy Ritchie,"Henry Cavill, Eiza González, Henry Golding",Black Bear Pictures
Shotgun Wedding,8,27,"220,090.91","242,100.00",6.87%,"8,966.67","Comedy, Romance",Jason Moore,"Jennifer Lopez, Josh Duhamel, Jennifer Coolidge",Mandeville Films
Doraemon: Nobita’s new dinosaur,5,33,"214,181.82","235,600.00",4.23%,"7,139.39","Animation, Family, Adventure",Takumi Watanabe,"Wasabi Mizuta, Megumi Oohara, Yumi Kakazu",Shin-Ei Animation
The Dark Knight,3,24,"207,272.73","228,000.00",3.92%,"9,500.00","Action, Crime, Drama",Christopher Nolan,"Christian Bale, Heath Ledger, Aaron Eckhart",Legendary Pictures
My Hero Academia: World Heroes’ Mission,4,27,"199,090.91","219,000.00",25.00%,"8,111.11","Animation, Action, Adventure",Kenji Nagasaki,"Daiki Yamashita, Nobuhiko Okamoto, Yuki Kaji",Bones
Laal Singh Chaddha,3,27,"198,272.73","218,100.00",4.41%,"8,077.78","Drama, Romance",Advait Chandan,"Aamir Khan, Kareena Kapoor, Naga Chaitanya",Aamir Khan Productions
,,,,,,,,,,
Batman Begins,3,24,"194,727.27","214,200.00",4.65%,"8,925.00","Action, Adventure, Crime",Christopher Nolan,"Christian Bale, Michael Caine, Liam Neeson",Legendary Pictures
Gentleman,5,22,"178,363.64","196,200.00",2.66%,"8,918.18","Drama, Comedy",Mahi Reddy,"Ju Ji-hoon, Park Sung-woong, Choi Sung-eun",Trickster
Conni And The Cat,19,30,"177,363.64","195,100.00",0.89%,"6,503.33","Animation, Family, Adventure",Ansgar Niebuhr,"Emma Breitschaft, Valentin Schiwe, Juno Wellershoff",WunderWerk
The Dark Knight Rises,3,21,"141,909.09","156,100.00",3.43%,"7,433.33","Action, Crime, Drama",Christopher Nolan,"Christian Bale, Tom Hardy, Anne Hathaway",Legendary Pictures
IO Capitano,2,7,"76,363.64","84,000.00",12.96%,"12,000.00",Drama,Matteo Garrone,"Seydou Sarr, Moustapha Fall, Babacar Diop",Archimede
Fate/Grand Order THE MOVIE Divine Realm,5,12,"61,363.64","67,500.00",1.54%,"5,625.00","Animation, Action, Fantasy",Kazuto Nakazawa,"Mamoru Miyano, Nobunaga Shimazaki, Rie Takahashi",Signal.MD
Tuuh Martahgui 2,7,5,"39,090.91","43,000.00",2.65%,"8,600.00",Drama,Adiyadorjiin Munhsuh,,
Air,4,7,"36,363.64","40,000.00",0.75%,"5,714.29","Drama, Sport",Ben Affleck,"Matt Damon, Ben Affleck, Jason Bateman",Amazon Studios
Devotion,4,4,"36,363.64","40,000.00",0.51%,"10,000.00","Drama, War, History",J.D. Dillard,"Jonathan Majors, Glen Powell, Christina Jackson",Black Label Media
Detective Conan Haibara Ai Monogatari Kurogane,7,4,"26,363.64","29,000.00",0.37%,"7,250.00","Animation, Mystery, Crime",Shunsuke Ishihara,"Megumi Hayashibara, Minami Takayama, Ryo Horikawa",TMS Entertainment